detector,material,defect_folder,image_path,status,detection_score,detected,false_positive,error
damaged_by_fold,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_2.png,success,0.83030523140375,True,True,
damaged_by_fold,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_1.jpeg,success,0.6882087553662786,True,True,
damaged_by_fold,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_2.jpeg,success,0.7315993736508657,True,True,
damaged_by_fold,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_1.jpeg,success,0.7544599209767149,True,True,
damaged_by_fold,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_2.jpeg,success,0.7963815283955338,True,True,
damaged_by_fold,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_1.jpeg,success,0.5976206622125767,True,True,
damaged_by_fold,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_2.jpeg,success,0.7429201994177572,True,True,
damaged_by_fold,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_3.jpeg,success,0.7370914552847618,True,True,
damaged_by_fold,nitrile,stain,datasets\nitrile\stain\nitrile_stain_1.jpeg,success,0.7811898736315275,True,True,
damaged_by_fold,nitrile,stain,datasets\nitrile\stain\nitrile_stain_2.jpeg,success,0.8138498818418508,True,True,
damaged_by_fold,nitrile,stain,datasets\nitrile\stain\nitrile_stain_3.jpeg,success,0.7348743741645121,True,True,
damaged_by_fold,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_1.jpg,success,0.7169440156825759,True,True,
damaged_by_fold,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_2.jpg,success,0.6638018051888084,True,True,
damaged_by_fold,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_1.jpg,success,0.8155964985314892,True,True,
damaged_by_fold,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_2.jpg,success,0.0,False,False,
damaged_by_fold,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_3.jpg,success,0.6556903631720097,True,True,
damaged_by_fold,nitrile,touching,datasets\nitrile\touching\nitrile_touching_1.png,success,0.6135006817158284,True,True,
damaged_by_fold,nitrile,touching,datasets\nitrile\touching\nitrile_touching_2.png,success,0.6585202843191869,True,True,
dirty,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_1.png,success,0.7437,True,True,
dirty,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_2.png,success,0.5607,True,True,
dirty,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_1.jpg,success,0.364,False,False,
dirty,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_2.jpg,success,0.4127,False,False,
dirty,cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,0.3671,False,False,
dirty,cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,0.2323,False,False,
dirty,cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,0.3478,False,False,
dirty,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_1.jpeg,success,0.6078,True,True,
dirty,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_2.jpeg,success,0.5648,True,True,
dirty,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_3.jpeg,success,0.5456,True,True,
dirty,cotton,tearing,datasets\cotton\tearing\cotton_tearing_1.jpg,success,0.6654,True,True,
dirty,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_1.jpg,success,0.4533,False,False,
dirty,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_2.jpg,success,0.6248,True,True,
dirty,cotton,touching,datasets\cotton\touching\cotton_touching_1.png,success,0.6441,True,True,
dirty,cotton,touching,datasets\cotton\touching\cotton_touching_2.png,success,0.5035,True,True,
dirty,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_1.png,success,0.4964,False,False,
dirty,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_2.png,success,0.5278,True,True,
dirty,latex,discoloration,datasets\latex\discoloration\latex_discoloration_1.jpeg,success,0.0494,False,False,
dirty,latex,discoloration,datasets\latex\discoloration\latex_discoloration_2.jpeg,success,0.1567,False,False,
dirty,latex,finger_not_enough,datasets\latex\finger_not_enough\latex_finger_not_enough_1.jpg,success,0.437,False,False,
dirty,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_1.png,success,0.3754,False,False,
dirty,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_2.png,success,0.7464,True,True,
dirty,latex,oversize,datasets\latex\oversize\latex_oversize_1.jpeg,success,0.3733,False,False,
dirty,latex,oversize,datasets\latex\oversize\latex_oversize_2.jpeg,success,0.681,True,True,
dirty,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_1.jpeg,success,0.3086,False,False,
dirty,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_2.jpeg,success,0.2144,False,False,
dirty,latex,spotting,datasets\latex\spotting\latex_spotting_1.jpeg,success,0.1873,False,False,
dirty,latex,spotting,datasets\latex\spotting\latex_spotting_2.jpeg,success,0.2759,False,False,
dirty,latex,spotting,datasets\latex\spotting\latex_spotting_3.jpeg,success,0.1022,False,False,
dirty,latex,stain,datasets\latex\stain\latex_stain_1.jpeg,success,0.4944,False,False,
dirty,latex,stain,datasets\latex\stain\latex_stain_2.jpeg,success,0.5561,True,True,
dirty,latex,tearing,datasets\latex\tearing\latex_tearing_1.jpg,success,0.5813,True,True,
dirty,latex,tearing,datasets\latex\tearing\latex_tearing_2.jpg,success,0.6436,True,True,
dirty,latex,tearing_fingertip,datasets\latex\tearing_fingertip\latex_tearing_fingertip_1.jpg,success,0.8247,True,True,
dirty,latex,touching,datasets\latex\touching\latex_touching_1.png,success,0.4714,False,False,
dirty,latex,touching,datasets\latex\touching\latex_touching_2.png,success,0.4293,False,False,
dirty,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_1.png,success,0.6984,True,True,
dirty,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_2.png,success,0.3382,False,False,
dirty,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_1.jpeg,success,0.1449,False,False,
dirty,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_2.jpeg,success,0.3166,False,False,
dirty,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_3.jpeg,success,0.5107,True,True,
dirty,nitrile,finger_not_enough,datasets\nitrile\finger_not_enough\nitrile_finger_not_enough_1.jpg,success,0.3101,False,False,
dirty,nitrile,finger_not_enough,datasets\nitrile\finger_not_enough\nitrile_finger_not_enough_2.jpg,success,0.6962,True,True,
dirty,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_1.png,success,0.5589,True,True,
dirty,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_2.png,success,0.7592,True,True,
dirty,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_1.jpeg,success,0.5863,True,True,
dirty,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_2.jpeg,success,0.5289,True,True,
dirty,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_1.jpeg,success,0.3174,False,False,
dirty,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_2.jpeg,success,0.353,False,False,
dirty,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_1.jpeg,success,0.5515,True,True,
dirty,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_2.jpeg,success,0.5177,True,True,
dirty,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_3.jpeg,success,0.5087,True,True,
dirty,nitrile,stain,datasets\nitrile\stain\nitrile_stain_1.jpeg,success,0.4814,False,False,
dirty,nitrile,stain,datasets\nitrile\stain\nitrile_stain_2.jpeg,success,0.3334,False,False,
dirty,nitrile,stain,datasets\nitrile\stain\nitrile_stain_3.jpeg,success,0.6435,True,True,
dirty,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_1.jpg,success,0.6772,True,True,
dirty,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_2.jpg,success,0.4677,False,False,
dirty,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_1.jpg,success,0.5539,True,True,
dirty,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_2.jpg,success,0.5939,True,True,
dirty,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_3.jpg,success,0.5639,True,True,
dirty,nitrile,touching,datasets\nitrile\touching\nitrile_touching_1.png,success,0.5474,True,True,
dirty,nitrile,touching,datasets\nitrile\touching\nitrile_touching_2.png,success,0.488,False,False,
discoloration,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_1.png,success,0.8440778906200719,True,True,
discoloration,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_2.png,success,0.0,False,False,
discoloration,cotton,dirty,datasets\cotton\dirty\cotton_dirty_1.jpeg,success,0.920320272572402,True,True,
discoloration,cotton,dirty,datasets\cotton\dirty\cotton_dirty_2.jpeg,success,0.9302080657135154,True,True,
discoloration,cotton,dirty,datasets\cotton\dirty\cotton_dirty_3.jpeg,success,0.903796896411244,True,True,
discoloration,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_1.jpg,success,0.0,False,False,
discoloration,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_2.jpg,success,0.6269916757482599,True,True,
discoloration,cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,0.0,False,False,
discoloration,cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,1.0,True,True,
discoloration,cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,0.0,False,False,
discoloration,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_1.jpeg,success,0.8381642815063705,True,True,
discoloration,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_2.jpeg,success,0.0,False,False,
discoloration,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_3.jpeg,success,0.6688338015452772,True,True,
discoloration,cotton,tearing,datasets\cotton\tearing\cotton_tearing_1.jpg,success,0.7399795340158724,True,True,
discoloration,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_1.jpg,success,0.9084893617021277,True,True,
discoloration,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_2.jpg,success,0.0,False,False,
discoloration,cotton,touching,datasets\cotton\touching\cotton_touching_1.png,success,0.0,False,False,
discoloration,cotton,touching,datasets\cotton\touching\cotton_touching_2.png,success,0.0,False,False,
discoloration,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_1.png,success,0.831954722542549,True,True,
discoloration,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_2.png,success,0.8301916811280833,True,True,
discoloration,latex,dirty,datasets\latex\dirty\latex_dirty_1.jpeg,success,1.0,True,True,
discoloration,latex,dirty,datasets\latex\dirty\latex_dirty_2.jpeg,success,0.9689920424403183,True,True,
discoloration,latex,dirty,datasets\latex\dirty\latex_dirty_3.jpeg,success,0.0,False,False,
discoloration,latex,finger_not_enough,datasets\latex\finger_not_enough\latex_finger_not_enough_1.jpg,success,0.5896999865507802,True,True,
discoloration,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_1.png,success,0.7851804241889528,True,True,
discoloration,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_2.png,success,1.0,True,True,
discoloration,latex,oversize,datasets\latex\oversize\latex_oversize_1.jpeg,success,0.9358528561062283,True,True,
discoloration,latex,oversize,datasets\latex\oversize\latex_oversize_2.jpeg,success,0.0,False,False,
discoloration,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_1.jpeg,success,0.8388189203950103,True,True,
discoloration,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_2.jpeg,success,0.8185863351202995,True,True,
discoloration,latex,spotting,datasets\latex\spotting\latex_spotting_1.jpeg,success,0.9605101718879632,True,True,
discoloration,latex,spotting,datasets\latex\spotting\latex_spotting_2.jpeg,success,0.7452394204973807,True,True,
discoloration,latex,spotting,datasets\latex\spotting\latex_spotting_3.jpeg,success,0.7869248304193979,True,True,
discoloration,latex,stain,datasets\latex\stain\latex_stain_1.jpeg,success,0.8408245875052427,True,True,
discoloration,latex,stain,datasets\latex\stain\latex_stain_2.jpeg,success,0.9794943396226415,True,True,
discoloration,latex,tearing,datasets\latex\tearing\latex_tearing_1.jpg,success,0.615912446168298,True,True,
discoloration,latex,tearing,datasets\latex\tearing\latex_tearing_2.jpg,success,0.7596388083457448,True,True,
discoloration,latex,tearing_fingertip,datasets\latex\tearing_fingertip\latex_tearing_fingertip_1.jpg,success,0.7963270392996887,True,True,
discoloration,latex,touching,datasets\latex\touching\latex_touching_1.png,success,0.8511579721931761,True,True,
discoloration,latex,touching,datasets\latex\touching\latex_touching_2.png,success,0.8164032511726266,True,True,
discoloration,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_1.png,success,0.0,False,False,
discoloration,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_2.png,success,0.0,False,False,
discoloration,nitrile,finger_not_enough,datasets\nitrile\finger_not_enough\nitrile_finger_not_enough_1.jpg,success,0.7654328603100717,True,True,
discoloration,nitrile,finger_not_enough,datasets\nitrile\finger_not_enough\nitrile_finger_not_enough_2.jpg,success,0.7798126199687898,True,True,
discoloration,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_1.png,success,0.0,False,False,
discoloration,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_2.png,success,0.8206622684634381,True,True,
discoloration,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_1.jpeg,success,0.7231455173528087,True,True,
discoloration,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_2.jpeg,success,0.9161232530929364,True,True,
discoloration,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_1.jpeg,success,0.0,False,False,
discoloration,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_2.jpeg,success,0.7285039064252521,True,True,
discoloration,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_1.jpeg,success,0.9024580396428212,True,True,
discoloration,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_2.jpeg,success,0.927298195017652,True,True,
discoloration,nitrile,spotting,datasets\nitrile\spotting\nitrile_spotting_3.jpeg,success,0.9681773640372366,True,True,
discoloration,nitrile,stain,datasets\nitrile\stain\nitrile_stain_1.jpeg,success,1.0,True,True,
discoloration,nitrile,stain,datasets\nitrile\stain\nitrile_stain_2.jpeg,success,0.872517058175853,True,True,
discoloration,nitrile,stain,datasets\nitrile\stain\nitrile_stain_3.jpeg,success,0.8845450775558991,True,True,
discoloration,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_1.jpg,success,0.8960459429685732,True,True,
discoloration,nitrile,tearing,datasets\nitrile\tearing\nitrile_tearing_2.jpg,success,0.8487675311801663,True,True,
discoloration,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_1.jpg,success,0.7366985166023408,True,True,
discoloration,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_2.jpg,success,0.8183750415197281,True,True,
discoloration,nitrile,tearing_fingertip,datasets\nitrile\tearing_fingertip\nitrile_tearing_fingertip_3.jpg,success,0.6838839365126974,True,True,
discoloration,nitrile,touching,datasets\nitrile\touching\nitrile_touching_1.png,success,0.0,False,False,
discoloration,nitrile,touching,datasets\nitrile\touching\nitrile_touching_2.png,success,0.0,False,False,
finger_not_enough,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_1.png,success,0.0,False,False,
finger_not_enough,cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_2.png,success,0.0,False,False,
finger_not_enough,cotton,dirty,datasets\cotton\dirty\cotton_dirty_1.jpeg,success,0.0,False,False,
finger_not_enough,cotton,dirty,datasets\cotton\dirty\cotton_dirty_2.jpeg,success,0.0,False,False,
finger_not_enough,cotton,dirty,datasets\cotton\dirty\cotton_dirty_3.jpeg,success,0.0,False,False,
finger_not_enough,cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,0.0,False,False,
finger_not_enough,cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,0.0,False,False,
finger_not_enough,cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,0.0,False,False,
finger_not_enough,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_1.jpeg,success,0.0,False,False,
finger_not_enough,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_2.jpeg,success,0.0,False,False,
finger_not_enough,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_3.jpeg,success,0.0,False,False,
finger_not_enough,cotton,tearing,datasets\cotton\tearing\cotton_tearing_1.jpg,success,0.0,False,False,
finger_not_enough,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_1.jpg,success,0.0,False,False,
finger_not_enough,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_2.jpg,success,0.0,False,False,
finger_not_enough,cotton,touching,datasets\cotton\touching\cotton_touching_1.png,success,0.0,False,False,
finger_not_enough,cotton,touching,datasets\cotton\touching\cotton_touching_2.png,success,0.75,True,True,
finger_not_enough,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_1.png,success,0.0,False,False,
finger_not_enough,latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_2.png,success,1.0,True,True,
finger_not_enough,latex,dirty,datasets\latex\dirty\latex_dirty_1.jpeg,success,0.0,False,False,
finger_not_enough,latex,dirty,datasets\latex\dirty\latex_dirty_2.jpeg,success,0.0,False,False,
finger_not_enough,latex,dirty,datasets\latex\dirty\latex_dirty_3.jpeg,success,0.0,False,False,
finger_not_enough,latex,discoloration,datasets\latex\discoloration\latex_discoloration_1.jpeg,success,0.0,False,False,
finger_not_enough,latex,discoloration,datasets\latex\discoloration\latex_discoloration_2.jpeg,success,0.75,True,True,
finger_not_enough,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_1.png,success,0.0,False,False,
finger_not_enough,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_2.png,success,0.0,False,False,
finger_not_enough,latex,oversize,datasets\latex\oversize\latex_oversize_1.jpeg,success,0.0,False,False,
finger_not_enough,latex,oversize,datasets\latex\oversize\latex_oversize_2.jpeg,success,0.0,False,False,
finger_not_enough,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_1.jpeg,success,0.75,True,True,
finger_not_enough,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_2.jpeg,success,0.75,True,True,
finger_not_enough,latex,spotting,datasets\latex\spotting\latex_spotting_1.jpeg,success,0.0,False,False,
finger_not_enough,latex,spotting,datasets\latex\spotting\latex_spotting_2.jpeg,success,0.0,False,False,
finger_not_enough,latex,spotting,datasets\latex\spotting\latex_spotting_3.jpeg,success,0.0,False,False,
finger_not_enough,latex,stain,datasets\latex\stain\latex_stain_1.jpeg,success,0.0,False,False,
finger_not_enough,latex,stain,datasets\latex\stain\latex_stain_2.jpeg,success,0.0,False,False,
finger_not_enough,latex,tearing,datasets\latex\tearing\latex_tearing_1.jpg,success,0.75,True,True,
finger_not_enough,latex,tearing,datasets\latex\tearing\latex_tearing_2.jpg,success,0.0,False,False,
finger_not_enough,latex,tearing_fingertip,datasets\latex\tearing_fingertip\latex_tearing_fingertip_1.jpg,success,0.0,False,False,
finger_not_enough,latex,touching,datasets\latex\touching\latex_touching_1.png,success,0.75,True,True,
finger_not_enough,latex,touching,datasets\latex\touching\latex_touching_2.png,success,0.75,True,True,
finger_not_enough,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_1.png,success,0.0,False,False,
finger_not_enough,nitrile,damaged_by_fold,datasets\nitrile\damaged_by_fold\nitrile_damaged_by_fold_2.png,success,0.0,False,False,
finger_not_enough,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_1.jpeg,success,0.75,True,True,
finger_not_enough,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_2.jpeg,success,0.75,True,True,
finger_not_enough,nitrile,discoloration,datasets\nitrile\discoloration\nitrile_discoloration_3.jpeg,success,0.0,False,False,
finger_not_enough,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_1.png,success,0.0,False,False,
finger_not_enough,nitrile,incomplete_beading,datasets\nitrile\incomplete_beading\nitrile_incomplete_beading_2.png,success,0.75,True,True,
finger_not_enough,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_1.jpeg,success,0.0,False,False,
finger_not_enough,nitrile,oversize,datasets\nitrile\oversize\nitrile_oversize_2.jpeg,success,0.0,False,False,
finger_not_enough,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_1.jpeg,success,0.0,False,False,
finger_not_enough,nitrile,plastic_contamination,datasets\nitrile\plastic_contamination\nitrile_plastic_2.jpeg,success,0.0,False,False,
